"cas_palu_confirme","tempmax_mean","tempmin_mean","temp_mean","feelslikemax_mean","feelslikemin_mean","feelslike_mean","dew_mean","humidity_mean","precip_mean","precipprob_mean","precipcover_mean","snowdepth_mean","windgust_mean","windspeed_mean","winddir_mean","sealevelpressure_mean","cloudcover_mean","solarradiation_mean","solarenergy_mean","uvindex_mean","moonphase_mean","tempmax_max","tempmin_max","temp_max","feelslikemax_max","feelslikemin_max","feelslike_max","dew_max","humidity_max","precip_max","precipprob_max","precipcover_max","snowdepth_max","windgust_max","windspeed_max","winddir_max","sealevelpressure_max","cloudcover_max","solarradiation_max","solarenergy_max","uvindex_max","moonphase_max","tempmax_min","tempmin_min","temp_min","feelslikemax_min","feelslikemin_min","feelslike_min","dew_min","humidity_min","precip_min","precipprob_min","precipcover_min","windgust_min","windspeed_min","winddir_min","sealevelpressure_min","cloudcover_min","solarradiation_min","solarenergy_min","uvindex_min","moonphase_min","mean_night_duration","VHI_mean","VCI_mean","TCI_mean"
294,36.3857142857143,20.6142857142857,27.8857142857143,34.7285714285714,20.6142857142857,27.2,10.9571428571429,37.9285714285714,0,0,0,0,25.7571428571429,13.8,66.4142857142857,1009.65714285714,64.8142857142857,214.971428571429,18.5285714285714,7.85714285714286,0.408571428571429,38,23.1,28.3,36.6,23.1,27.8,12.2,42.5,0,0,0,0,33.5,15.8,105.5,1010.8,94.8,227.4,19.6,8,0.5,34.5,18,27.2,32.5,18,26.4,8.2,30.8,0,0,0,19.8,10.4,12.1,1008.7,20.7,183.8,15.9,7,0.31,1440,51.337776668144,73.5301097301522,29.1458074537793
314,35.6571428571429,20.7857142857143,27.6571428571429,33.7428571428571,20.7857142857143,26.7428571428571,7.07142857142857,29.4428571428571,0,0,0,0,31.6285714285714,17.8571428571429,85.7571428571429,1011.31428571429,61.3,223.5,19.3285714285714,8,0.647142857142857,37,22,28.3,35.8,22,27.4,8.9,33.4,0,0,0,0,36,22.3,92.8,1012.5,76.4,230.1,19.9,8,0.75,34.3,19.4,26.9,31.8,19.4,26.1,5.5,26.9,0,0,0,26.6,14.8,77.3,1009.9,40.5,217.5,19,8,0.54,1440,50.7828372786744,73.4752613655244,28.0902519749271
231,36.2,19.4,27.16,33.62,19.4,26.22,6.08,28.98,0,0,0,0,29.96,14.64,81.9,1011.42,29.86,219.28,18.86,7.6,0.846,38,23,27.6,35.2,23,26.7,7.1,32,0,0,0,0,34.2,15.5,94.8,1012,88.2,234.8,20.3,8,0.92,33,18,26.7,30.7,18,25.8,4,24.7,0,0,0,25.6,13.3,71.9,1010.8,0,168.6,14.5,6,0.75,1440,49.8775847386832,72.1052007554757,27.6499791685981
303,35.8,18.0571428571429,26.4571428571429,33.6142857142857,18.0571428571429,25.6428571428571,7.12857142857143,31.6,0,0,0,0,29.6714285714286,16.7285714285714,68.3571428571429,1010.74285714286,25,235.6,20.4,8,0.127142857142857,36,20,27.1,33.8,20,26.3,8.2,34.1,0,0,0,0,34.6,33.5,101.7,1011.1,46.9,237.3,20.5,8,0.25,35.1,16.6,26,33.3,16.6,25.1,4.4,26.9,0,0,0,24.8,11.2,46.9,1010.4,2.7,230.6,20,8,0.02,1440,48.3866353690624,70.2330895867011,26.540049975388
439,36.5428571428571,22.1571428571429,29,34.3428571428571,22.1571428571429,28.0142857142857,7.22857142857143,27.3428571428571,0,0,0,0,29.6857142857143,16.2,94.9428571428572,1011.4,60.5,228.442857142857,19.7,8,0.352857142857143,38.2,24.5,30.5,36.1,24.5,29.6,11.2,32.5,0,0,0,0,36.7,29.5,134,1012.3,78.8,235.6,20.3,8,0.45,34,21,26.7,31.6,21,25.9,3.8,22.4,0,0,0,20.9,7.9,47.4,1010,45.5,204.4,17.6,8,0.25,1440,47.3865039235113,69.5883523316998,25.184656083343
312,36.4714285714286,20.2285714285714,28.3714285714286,33.9714285714286,20.2285714285714,27.3142857142857,4.78571428571429,23.9,0,0,0,0,37.8,20.0142857142857,85.1428571428571,1012.38571428571,19.2428571428571,244.1,21.1,8.85714285714286,0.59,37,23,29.9,35.1,23,28.8,8.6,28,0,0,0,0,39.6,24.3,95.1,1013.5,36.4,248.1,21.4,9,0.69,35.7,19,27.7,33.3,19,26.7,3.4,22,0,0,0,34.9,16.2,80.2,1011.5,4.6,237.6,20.5,8,0.5,1440,48.0010999342408,69.3344836726333,26.6679186683713
336,36.4857142857143,19.5285714285714,28.0285714285714,33.9142857142857,19.5285714285714,26.9571428571429,4.41428571428571,24.1428571428571,0,0,0,0,31.8285714285714,16.8714285714286,114.842857142857,1010.21428571429,41.4285714285714,245.2,21.1428571428571,8.71428571428571,0.831428571428571,39.5,22,30.4,36.6,22,29,7.3,29.4,0,0,0,0,39.6,24.8,288.8,1012,80.3,251.3,21.8,9,0.94,33.9,18,26.7,31.4,18,25.8,1.8,20.8,0,0,0,21.6,11.2,36.7,1008.9,20.9,227.6,19.6,8,0.73,1440,46.055352500352,68.7875543105482,23.323039962246
249,38,20.8428571428571,28.9714285714286,35.3428571428571,20.8428571428571,27.7285714285714,2.9,20.5571428571429,0,0,0,0,35.0714285714286,16.7714285714286,87.0285714285714,1010.67142857143,18.9142857142857,258.8,22.2714285714286,9,0.214285714285714,39,23,30.7,37.5,23,29.2,4.2,22.7,0,0,0,0,44.6,25.9,101.8,1012,47.4,263.2,22.7,9,0.97,37,19.2,27.5,34.2,19.2,26.5,0.7,17.9,0,0,0,27.7,11.5,71.8,1009.7,4,254.1,21.8,9,0,1440,45.7732918650213,66.5147159822059,25.0318277881603
187,37.1428571428571,20.0714285714286,28.7,34.2571428571429,20.0714285714286,27.5,1.5,18.6428571428571,0,0,0,0,32.5142857142857,15.8,58.9714285714286,1010.52857142857,6.31428571428571,266.328571428571,22.9571428571429,9,0.301428571428571,39,21,30.3,35.9,21,28.9,2.2,19.4,0,0,0,0,38.2,22.3,66.7,1011,13.8,268.5,23.1,9,0.4,35,19,27.1,32.3,19,26.1,0.6,16.9,0,0,0,28.8,11.9,51.3,1010,2.1,264.7,22.9,9,0.2,1440,46.4243019924019,65.2435847614751,27.6048075413463
183,37.5714285714286,20.8142857142857,29.0714285714286,35.3428571428571,20.8142857142857,27.8714285714286,4.27142857142857,21.7857142857143,0,0,0,0,27.9714285714286,12.7857142857143,49.7857142857143,1010.25714285714,13.1714285714286,267.614285714286,23.1714285714286,9,0.531428571428571,40,22.1,30.8,38.4,22.1,29.6,7.7,25.8,0,0,0,0,31.7,18.4,66,1011.5,24.2,271.9,23.7,9,0.64,36,20,28.1,33.6,20,27,2.2,19.6,0,0,0,22.3,10.4,17.4,1008.9,5.3,266,22.9,9,0.43,1440,45.1831302670517,63.9103019012345,26.4561307638583
